Nama Produk;Harga;Toko;Lokasi;Rating;Terjual
PC Rakitan Intel Core i3 10105F Gen 10 ( RTX 3050 6GB ) Siap Gaming editing & Rendering;Rp3.435.000;GT Computer;Bandung;4.8;40+ terjual
Mini PC Gamer Intel i7 13800H i9 12900H i7-12700H NVIDIA RTX 4060 3050 8G Desktop Gaming Mini Computer PCIE4.0 WiFi6 Windows 11;Rp38.363.200;ANSHIERU STORE;Jakarta Pusat;N/A;N/A
PC Rakitan Gaming Ryzen 5 8500G ( RTX 3050 8GB ) Cocok editing render cepat;Rp6.635.000;GT Computer;Bandung;5.0;1 terjual
PC Gaming & Design Ryzen 5 2400G + RTX 3050 Ultra 16GB Ram SSD NVME 512GB;Rp6.250.000;Arif Jaya Gadget;Jakarta Barat;N/A;N/A
JASA KANG RAKIT PC INTEL I3/i5/i7 RYZEN 3/5/7 RTX 3050 3060 3070 3080;Rp5.000.000;Putraaa;Jakarta Barat;N/A;N/A
PC GAMING PESENAN i5 rtx 3050;Rp7.850.000;SkidRow;Jakarta Selatan;5.0;1 terjual
PC Gaming Core i5 12400F I RTX 3050 8GB I 16GB I Editing - Streaming;Rp8.250.000;BCM Computer_NEW;Bandung;5.0;11 terjual
PC Gaming i7 12700K | RTX 3050-RTX 3060 |16GB DDR4 | DESIGN - EDITING;Rp12.350.000;BCM Computer_NEW;Bandung;5.0;9 terjual
PC Gaming Core i9 14900 RAM 32GB NVME 1TB HDD 2TB VGA RTX 3050 8GB DDR6;Rp18.000.000;Central Computer Asia;Jakarta Pusat;N/A;N/A
Pc Gaming Core i5 10400F Ram 16 Gb | Ssd 256 Gb | 6 Gb RTX 3050  Pc Editing;Rp5.995.000;Abdee computer_NEW;Bandung;4.8;20 terjual
Paket PC High End Intel i5 10400 with RTX 3050;Rp6.300.000;Point PC;Jakarta Timur;N/A;N/A
[Gaming PC] Mini PC Intel i9-13900H i7 Nvidia RTX 4060 3050 8G GDDR6 14C/20T RGB Lights Mini Desktop Computer 2X HDMI Type-C;Rp36.745.000;ANSHIERU STORE;Jakarta Pusat;N/A;N/A
JM PC GAMING Black Myth Wukong PC GAMING AMD RYZEN 5 5600 NVIDIA RTX 3050 WITH AIR COOLER;Rp8.675.000;G Komputer Semarang;Semarang;N/A;N/A
PC Gaming Intel | i7-11700F | RTX 3050 8GB | 8GB RAM | 128GB NVMe;Rp11.500.000;GGcomputers;Kab. Tangerang;5.0;3 terjual
[Gaming PC] Mini PC Intel i9-13900H i7 Nvidia RTX 4060 3050 8G GDDR6 14C/20T RGB Lights Mini Desktop Computer 2X HDMI Type-C;Rp36.856.600;ANSHIERU STORE;Jakarta Pusat;N/A;N/A
Gaming PC Desktop Computer Intel Core i9 13900H i7 13700H 64GB Ram 2TB SSD Windows 11 pro Video Card Nvidia RTX 4060 3050 8G;Rp41.052.400;ANSHIERU STORE;Jakarta Pusat;N/A;N/A
RAKITAN PC AMD A520M | RYZEN 5 5600 | VGA RTX 3050 6GB| RAM 16GB | SSD 512GB RAKITAN GAMING PC;Rp7.469.000;DFE Komputer;Jakarta Pusat;N/A;N/A
PC Gaming i5 12600K | RTX 3050-RTX 3060 |16GB DDR4 | DESIGN - EDITING;Rp12.050.000;BCM Computer_NEW;Bandung;5.0;1 terjual
Mini PC Gamer Intel i7 13800H i9 12900H i7-12700H NVIDIA RTX 4060 3050 8G Desktop Gaming Mini Computer PCIE4.0 WiFi6 Windows 11;Rp38.480.200;ANSHIERU STORE;Jakarta Pusat;N/A;N/A
Gaming PC AMD Ryzen 5 7500F 8GB RAM RTX 3050 6GB Upgradeable Efficient Power.;Rp9.060.000;D1V1 Store;Semarang;N/A;N/A
